QuantitySold,Price,StartingBidPercent,SellerName,SellerClosePercent,Category,PersonID,StartingBid,AvgPrice,ItemAuctionSellPercent,AuctionSaleCount,AuctionMedianPrice
1,27.25,0.0537,petesandi,0.9259259259259259259,73396,9174,0.99,18.4273,0,291,12.26
1,11.00,0.5426,hondo19461946,0.4221311475409836065,73396,9174,10.00,18.4273,0,291,12.26
0,10.00,0.5426,winemeyer45,0.2450980392156862745,73396,9174,10.00,18.4273,0,291,12.26
0,9.99,1.9159,chucksmemorabilia,0.2953586497890295358,73396,17956,9.99,5.2142,0,44,3.02
0,49.99,2.7128,sure2mksale,0.0444444444444444444,73396,9174,49.99,18.4273,0,291,12.26
0,49.99,2.7128,obx1971,0.2000000000000000000,73396,9174,49.99,18.4273,0,291,12.26
1,1.25,0.601,the_sports_page,0.5533814589665653495,73396,14046,0.99,1.647,0,10,1.80
0,4.99,1.0588,ethreedawg,0.3000000000000000000,73396,8799,4.99,4.7126,0,190,2.82
0,12.49,0.6777,mwalker3philly,0.5714285714285714285,73396,9174,12.49,18.4273,0,291,12.26
1,0.99,0.21,runningtiger13,0.5784313725490196078,73396,8799,0.99,4.7126,0,190,2.82
1,0.99,0.6073,my09131970,0.0912887828162291169,73396,13963,0.99,1.63,0,12,0.99
0,9.99,2.1198,jakesdoor,0.4711538461538461538,73396,8799,9.99,4.7126,0,190,2.82
0,2.49,0.9346,great_cards_and_autographs,0.0098920863309352517,73396,29815,2.49,2.6642,1,11,0.99
0,29.99,1.6274,danaturalsparky,0.0652173913043478260,73396,9174,29.99,18.4273,0,291,12.26
0,3.50,1.3137,deadeds8210,0.0260586319218241042,73396,29815,3.50,2.6642,0,11,0.99
1,13.02,0.4335,4sportcollectables,0.0584415584415584415,73396,9174,7.99,18.4273,0,291,12.26
0,3.50,1.3137,deadeds8210,0.0260586319218241042,73396,29815,3.50,2.6642,0,11,0.99
0,3.50,1.3137,deadeds8210,0.0260586319218241042,73396,29815,3.50,2.6642,0,11,0.99
1,0.99,0.3715,harryjean0,0.1282694374776065926,73396,29815,0.99,2.6642,0,11,0.99
0,0.99,0.6073,my09131970,0.0912887828162291169,73396,13963,0.99,1.63,0,12,0.99
0,5.00,1.087,autographman1985.513,0.0645161290322580645,73396,10093,5.00,4.5994,0,34,2.12
0,3.00,1.8214,randomtreasurez,0.0076530612244897959,73396,14046,3.00,1.647,0,10,1.80
0,10.00,0.365,1052ab,0.5454545454545454545,73396,57704,10.00,27.3936,0,244,15.28
1,1.99,0.3248,bcsportscards,0.3638334778837814397,27265,25467,1.99,6.1265,0,39,4.99
1,26.00,0.0087,milehighskincare,0.9425287356321839080,73396,14896,0.99,113.1952,0,339,93.09
0,8.99,0.9539,liz92685,0.0714285714285714285,73396,19015,8.99,9.4236,0,60,4.97
1,2.99,0.7985,bookcollectorgtm,0.0270270270270270270,73396,17163,2.99,3.7441,0,10,2.995
1,12.50,0.2152,kidjr24,0.6666666666666666666,73396,10093,0.99,4.5994,0,34,2.12
