PersonPriceID,PersonID,CategoryName,ListedCount,AvgPrice,MaxPrice,MinPrice,SaleCount,GradedCount,GradedSaleCount,GradedAvgPrice,AuctionCount,AuctionSaleCount,AuctionAvgPrice,AuctionMedianPrice,FirstName,LastName,PlayerName,DeceasedYear,ItemAuctionSellPercent
480729,34,Photos,1409,59.5023,299.99,1.00,385,352,87,75.6252,1180,346,52.9181,36.24,Hank,Aaron,Hank Aaron,NULL,0.2932203389830508474
480738,34,Trading Cards,778,115.9218,6000.00,3.83,327,328,75,137.1474,610,291,113.3417,39.00,Hank,Aaron,Hank Aaron,NULL,0.4770491803278688524
481599,676,Photos,355,16.9247,50.00,0.99,86,112,21,23.5266,263,73,12.8121,9.99,Sparky,Anderson,Sparky Anderson,NULL,0.2775665399239543726
481607,676,Trading Cards,858,8.0349,61.20,0.01,193,227,16,17.9273,669,182,7.0799,3.88,Sparky,Anderson,Sparky Anderson,NULL,0.2720478325859491778
481710,769,Trading Cards,341,17.8277,148.25,1.99,145,57,14,25.5261,282,136,16.6391,12.00,Luis,Aparicio,Luis Aparicio,NULL,0.4822695035460992907
481904,936,Photos,254,39.522,269.99,1.04,78,132,21,31.4915,178,62,24.2901,19.995,Richie,Ashburn,Richie Ashburn,1997,0.3483146067415730337
481911,936,Trading Cards,262,29.0511,610.99,2.92,104,120,19,31.5905,175,93,27.4986,17.59,Richie,Ashburn,Richie Ashburn,1997,0.5314285714285714285
482481,1363,Photos,704,42.227,1274.95,0.99,188,222,45,45.8007,530,147,27.0158,20.53,Ernie,Banks,Ernie Banks,NULL,0.2773584905660377358
482488,1363,Trading Cards,749,35.9374,589.00,0.39,279,256,44,76.4852,549,233,27.7424,16.32,Ernie,Banks,Ernie Banks,NULL,0.4244080145719489981
483401,2048,Photos,742,62.6837,489.75,2.47,169,305,55,66.575,638,133,39.9873,28.00,Johnny,Bench,Johnny Bench,NULL,0.2084639498432601880
483410,2048,Trading Cards,531,43.3821,334.99,1.99,203,160,31,79.7403,393,194,42.9105,29.99,Johnny,Bench,Johnny Bench,NULL,0.4936386768447837150
483610,2228,Photos,1697,46.6957,369.99,0.99,493,587,143,54.055,1483,426,38.0716,30.00,Yogi,Berra,Yogi Berra,NULL,0.2872555630478759271
483618,2228,Trading Cards,785,45.9272,799.00,2.25,309,300,54,85.9038,602,289,44.1431,26.27,Yogi,Berra,Yogi Berra,NULL,0.4800664451827242524
484294,2705,Photos,761,20.274,81.99,0.49,127,186,24,26.8478,584,97,16.9555,14.00,Wade,Boggs,Wade Boggs,NULL,0.1660958904109589041
484301,2705,Trading Cards,763,15.7869,228.50,0.99,212,184,18,29.105,537,196,15.7362,10.775,Wade,Boggs,Wade Boggs,NULL,0.3649906890130353817
484712,2973,Photos,414,13.8737,69.99,0.99,62,157,17,18.7218,284,52,9.3694,8.13,Lou,Boudreau,Lou Boudreau,2001,0.1830985915492957746
484717,2973,Trading Cards,462,11.7391,61.00,0.25,119,140,23,13.3742,333,106,10.3217,6.025,Lou,Boudreau,Lou Boudreau,2001,0.3183183183183183183
485153,3324,Photos,560,50.6053,349.99,0.99,128,138,24,70.4439,450,109,36.9317,24.99,George,Brett,George Brett,NULL,0.2422222222222222222
485162,3324,Trading Cards,497,37.2538,365.02,0.99,184,175,17,61.4314,377,170,36.349,19.925,George,Brett,George Brett,NULL,0.4509283819628647214
485296,3446,Photos,632,26.8241,224.00,0.99,139,281,41,30.2373,509,111,20.9184,16.61,Lou,Brock,Lou Brock,NULL,0.2180746561886051080
485304,3446,Trading Cards,540,23.5593,412.33,1.75,210,148,26,39.3566,389,183,21.2928,13.50,Lou,Brock,Lou Brock,NULL,0.4704370179948586118
486233,4049,Photos,359,35.3361,449.00,0.99,97,98,27,36.5966,238,62,13.8658,9.99,Jim,Bunning,Jim Bunning,NULL,0.2605042016806722689
486237,4049,Trading Cards,491,17.878,225.00,0.99,123,121,15,42.3192,321,114,12.4699,9.99,Jim,Bunning,Jim Bunning,NULL,0.3551401869158878504
487064,4666,Photos,430,32.2377,279.00,0.99,102,144,22,54.5515,345,83,25.9321,15.61,Rod,Carew,Rod Carew,NULL,0.2405797101449275362
487073,4666,Trading Cards,475,24.285,250.00,0.99,181,179,29,39.1592,342,165,20.968,15.51,Rod,Carew,Rod Carew,NULL,0.4824561403508771929
487120,4697,Photos,925,24.2636,177.50,0.99,182,245,58,25.0102,799,149,17.5548,15.00,Steve,Carlton,Steve Carlton,NULL,0.1864831038798498122
487129,4697,Trading Cards,461,22.1741,157.50,0.99,191,144,21,51.444,341,165,19.244,14.53,Steve,Carlton,Steve Carlton,NULL,0.4838709677419354838
487337,4840,Photos,759,28.3161,369.99,0.99,178,223,30,36.2592,609,130,16.766,12.02,Gary,Carter,Gary Carter,NULL,0.2134646962233169129
487346,4840,Trading Cards,668,15.5061,187.50,0.99,229,239,22,17.9668,490,205,13.9857,9.09,Gary,Carter,Gary Carter,NULL,0.4183673469387755102
487651,5066,Photos,539,18.8073,199.00,0.99,122,200,37,30.076,420,92,15.1495,9.99,Orlando,Cepeda,Orlando Cepeda,NULL,0.2190476190476190476
487657,5066,Trading Cards,335,23.8214,400.00,0.99,122,94,18,45.6381,237,104,20.5425,9.99,Orlando,Cepeda,Orlando Cepeda,NULL,0.4388185654008438818
490933,7629,Photos,2132,120.1812,1376.98,1.00,594,790,148,213.0509,1951,567,117.2029,79.99,Joe,DiMaggio,Joe DiMaggio,1999,0.2906201947719118400
490942,7629,Trading Cards,394,172.4576,3000.00,13.51,133,143,39,241.3943,315,123,170.1086,119.00,Joe,DiMaggio,Joe DiMaggio,1999,0.3904761904761904761
491115,7763,Photos,1250,7.2809,159.00,0.01,321,290,52,14.3763,1086,300,6.081,4.50,Bobby,Doerr,Bobby Doerr,NULL,0.2762430939226519337
491122,7763,Trading Cards,1308,7.1691,158.05,0.20,369,260,23,37.8043,1131,351,6.5885,3.75,Bobby,Doerr,Bobby Doerr,NULL,0.3103448275862068965
491882,8434,Photos,277,24.0338,59.99,0.99,86,79,5,38.4975,211,51,13.555,9.99,Dennis,Eckersley,Dennis Eckersley,NULL,0.2417061611374407582
491890,8434,Trading Cards,368,15.3549,125.00,0.99,109,129,13,41.66,255,104,12.9877,8.145,Dennis,Eckersley,Dennis Eckersley,NULL,0.4078431372549019607
492804,9174,Photos,2427,11.881,199.99,0.56,646,362,96,18.2869,2213,568,10.7173,9.505,Bob,Feller,Bob Feller,NULL,0.2566651604157252598
492812,9174,Trading Cards,766,18.4273,182.50,0.01,318,120,21,49.6605,583,291,16.5908,12.26,Bob,Feller,Bob Feller,NULL,0.4991423670668953687
493055,9364,Photos,730,12.8323,59.00,0.99,164,174,29,13.07,580,133,10.6509,9.99,Rollie,Fingers,Rollie Fingers,NULL,0.2293103448275862068
493063,9364,Trading Cards,651,8.825,72.00,0.99,200,106,9,28.7222,486,190,7.9319,5.915,Rollie,Fingers,Rollie Fingers,NULL,0.3909465020576131687
493167,9435,Photos,526,64.969,489.75,1.04,132,193,35,56.3363,381,93,38.2902,28.56,Carlton,Fisk,Carlton Fisk,NULL,0.2440944881889763779
493175,9435,Trading Cards,494,24.2799,305.00,0.99,187,156,19,42.5557,379,170,22.349,15.99,Carlton,Fisk,Carlton Fisk,NULL,0.4485488126649076517
493478,9679,Photos,1373,37.8209,600.00,0.99,360,600,149,49.0026,1195,323,28.9454,18.38,Whitey,Ford,Whitey Ford,NULL,0.2702928870292887029
493487,9679,Trading Cards,614,36.8246,350.00,1.99,194,211,37,53.9964,439,176,34.9211,24.845,Whitey,Ford,Whitey Ford,NULL,0.4009111617312072892
494800,10662,Photos,486,64.6475,549.99,0.99,147,167,47,60.9113,360,99,25.531,22.50,Bob,Gibson,Bob Gibson,NULL,0.2750000000000000000
494808,10662,Trading Cards,601,27.0044,390.00,0.99,213,127,33,37.5857,454,196,24.9754,15.50,Bob,Gibson,Bob Gibson,NULL,0.4317180616740088105
496472,11911,Photos,779,27.9848,199.99,0.99,151,302,32,27.8037,583,118,22.1025,17.375,Tony,Gwynn,Tony Gwynn,NULL,0.2024013722126929674
496481,11911,Trading Cards,936,17.6427,350.00,0.83,322,264,25,27.9742,740,307,15.5998,10.25,Tony,Gwynn,Tony Gwynn,NULL,0.4148648648648648648
497961,12970,Photos,461,38.973,224.00,2.25,89,178,33,36.7862,339,73,27.5495,24.56,Rickey,Henderson,Rickey Henderson,NULL,0.2153392330383480825
