Price,StartingBidPercent,StartingBid,AvgPrice,QuantitySold,ItemAuctionSellPercent,Authenticated,SellerSaleAvgPriceRatio,IsHOF,AuctionCount,SellerAuctionSaleCount,PriceBuckets,AuctionMedianPrice
0.99,0.0552,0.99,17.9225,1,0.2916666666666666666,0,3.25,0,24,13,5,9.99
4.69,0.1847,0.99,5.3572,1,0.3055555555555555555,0,0.62,0,36,1417,5,4.99
10.99,0.9477,10.99,11.5961,1,0.2047244094488188976,0,0.43,0,127,62,15,5.00
1.04,0.0853,0.99,11.5961,1,0.2047244094488188976,0,0.62,0,127,1417,5,5.00
4.26,0.0853,0.99,11.5961,1,0.2047244094488188976,0,0.62,0,127,1417,5,5.00
1.99,0.1716,1.99,11.5961,1,0.2047244094488188976,0,1.06,0,127,839,5,5.00
1.69,0.1457,1.69,11.5961,1,0.2047244094488188976,0,0.24,0,127,770,5,5.00
1.59,0.1371,1.59,11.5961,1,0.2047244094488188976,0,0.24,0,127,770,5,5.00
1.59,0.1371,1.59,11.5961,1,0.2047244094488188976,0,0.24,0,127,770,5,5.00
8.28,0.0853,0.99,11.5961,1,0.2047244094488188976,0,0.62,0,127,1417,10,5.00
5.01,0.0853,0.99,11.5961,1,0.2047244094488188976,0,0.62,0,127,1417,10,5.00
5.59,0.0853,0.99,11.5961,1,0.2047244094488188976,0,0.62,0,127,1417,10,5.00
8.37,0.0853,0.99,11.5961,1,0.2047244094488188976,0,0.62,0,127,1417,10,5.00
3.02,0.0853,0.99,11.5961,1,0.2047244094488188976,0,0.26,0,127,80,5,5.00
5.05,0.0008,0.01,11.5961,1,0.2047244094488188976,0,1.11,0,127,99,10,5.00
1.99,0.1716,1.99,11.5961,1,0.2047244094488188976,0,1.06,0,127,839,5,5.00
8.75,0.0417,0.99,23.7021,1,0.1986301369863013698,1,1.13,0,146,1735,10,9.99
20.58,0.0417,0.99,23.7021,1,0.1986301369863013698,0,0.76,0,146,127,25,9.99
14.99,0.6324,14.99,23.7021,1,0.1986301369863013698,0,1.23,0,146,2542,15,9.99
21.01,0.4214,9.99,23.7021,1,0.1986301369863013698,1,1.78,0,146,265,25,9.99
7.75,0.3269,7.75,23.7021,1,0.1986301369863013698,0,0.39,0,146,19,10,9.99
8.99,0.4971,8.99,18.0827,1,0.2338709677419354838,0,1.08,0,124,152,10,12.99
8.99,0.4971,8.99,18.0827,1,0.2338709677419354838,0,1.08,0,124,152,10,12.99
17.99,0.9948,17.99,18.0827,1,0.2338709677419354838,0,0.88,0,124,35,20,12.99
9.99,0.5524,9.99,18.0827,1,0.2338709677419354838,0,1.08,0,124,152,10,12.99
0.99,1.00,0.99,0.99,1,0.2000000000000000000,0,1.06,0,5,839,5,0.99
13.95,0.028,0.99,35.3361,1,0.2605042016806722689,1,1.13,1,238,1751,15,9.99
12.50,0.028,0.99,35.3361,1,0.2605042016806722689,1,1.13,1,238,1751,15,9.99
16.50,0.028,0.99,35.3361,1,0.2605042016806722689,1,1.13,1,238,1751,20,9.99
9.99,0.2827,9.99,35.3361,1,0.2605042016806722689,0,0.72,1,238,183,10,9.99
15.00,0.4244,15.00,35.3361,1,0.2605042016806722689,0,0.69,1,238,10,15,9.99
9.99,0.2827,9.99,35.3361,1,0.2605042016806722689,0,0.72,1,238,183,10,9.99
23.50,0.028,0.99,35.3361,1,0.2605042016806722689,1,1.13,1,238,1751,25,9.99
9.99,0.2827,9.99,35.3361,1,0.2605042016806722689,0,1.08,1,238,152,10,9.99
15.50,0.028,0.99,35.3361,1,0.2605042016806722689,1,1.13,1,238,1751,20,9.99
9.38,0.028,0.99,35.3361,1,0.2605042016806722689,1,1.13,1,238,1751,10,9.99
6.29,0.028,0.99,35.3361,1,0.2605042016806722689,1,1.13,1,238,1751,10,9.99
0.99,0.028,0.99,35.3361,1,0.2605042016806722689,0,0.18,1,238,8,5,9.99
12.50,0.028,0.99,35.3361,1,0.2605042016806722689,1,1.13,1,238,1751,15,9.99
2.66,0.0752,2.66,35.3361,1,0.2605042016806722689,0,0.32,1,238,32,5,9.99
11.97,0.3387,11.97,35.3361,1,0.2605042016806722689,0,0.34,1,238,4,15,9.99
10.00,0.2829,10.00,35.3361,1,0.2605042016806722689,0,0.54,1,238,196,10,9.99
7.45,0.1966,6.95,35.3361,1,0.2605042016806722689,0,0.54,1,238,182,10,9.99
6.49,0.1695,5.99,35.3361,1,0.2605042016806722689,0,0.77,1,238,5,10,9.99
17.50,0.028,0.99,35.3361,1,0.2605042016806722689,1,1.13,1,238,1751,20,9.99
6.38,0.028,0.99,35.3361,1,0.2605042016806722689,0,0.32,1,238,32,10,9.99
9.99,0.2827,9.99,35.3361,1,0.2605042016806722689,0,1.08,1,238,152,10,9.99
6.62,0.1412,4.99,35.3361,1,0.2605042016806722689,1,1.16,1,238,56,10,9.99
3.34,0.3417,0.99,2.8966,1,0.0629370629370629370,1,1.13,0,143,1751,5,2.99
15.99,1.2077,15.99,13.24,1,0.3333333333333333333,0,0.96,0,6,56,20,13.24
8.99,0.4777,8.99,18.8155,1,0.1951219512195121951,0,0.87,0,41,135,10,14.445
3.00,0.5602,3.00,5.3552,1,0.0953678474114441416,1,1.00,0,367,18,5,4.99
5.57,0.1848,0.99,5.3552,1,0.0953678474114441416,0,0.62,0,367,1417,10,4.99
9.49,1.492,7.99,5.3552,1,0.0953678474114441416,0,0.69,0,367,2,10,4.99
4.99,0.5968,4.99,8.3607,1,0.0806451612903225806,0,0.45,0,62,227,5,5.00
4.28,0.1031,0.99,9.5931,1,0.1805555555555555555,0,0.62,0,72,1417,5,5.95
4.24,0.3471,3.33,9.5931,1,0.1805555555555555555,0,0.94,0,72,340,5,5.95
4.24,0.3471,3.33,9.5931,1,0.1805555555555555555,0,0.94,0,72,340,5,5.95
8.50,0.1031,0.99,9.5931,1,0.1805555555555555555,0,0.62,0,72,1417,10,5.95
5.02,0.1031,0.99,9.5931,1,0.1805555555555555555,0,0.62,0,72,1417,10,5.95
1.25,0.5535,0.99,1.7885,1,0.0530303030303030303,0,0.44,0,132,304,5,1.04
5.99,1.6351,5.99,3.6633,1,0.0468750000000000000,0,1.08,0,64,152,10,4.99
5.51,0.1461,0.99,6.7722,1,0.5000000000000000000,0,0.62,0,18,1417,10,6.99
2.12,0.2389,0.99,4.1434,1,0.2000000000000000000,0,0.62,0,160,1417,5,2.895
1.50,0.2389,0.99,4.1434,1,0.2000000000000000000,0,0.62,0,160,1417,5,2.895
1.99,0.4802,1.99,4.1434,1,0.2000000000000000000,0,0.96,0,160,56,5,2.895
0.99,0.2389,0.99,4.1434,1,0.2000000000000000000,0,0.62,0,160,1417,5,2.895
2.59,0.2389,0.99,4.1434,1,0.2000000000000000000,0,0.62,0,160,1417,5,2.895
1.25,0.3016,1.25,4.1434,1,0.2000000000000000000,0,0.43,0,160,56,5,2.895
2.05,0.2389,0.99,4.1434,1,0.2000000000000000000,0,0.62,0,160,1417,5,2.895
4.99,1.2043,4.99,4.1434,1,0.2000000000000000000,0,0.63,0,160,555,5,2.895
3.30,0.2389,0.99,4.1434,1,0.2000000000000000000,0,0.62,0,160,1417,5,2.895
7.99,1.9283,7.99,4.1434,1,0.2000000000000000000,0,0.89,0,160,159,10,2.895
4.30,0.2389,0.99,4.1434,1,0.2000000000000000000,1,1.08,0,160,152,5,2.895
3.50,0.2389,0.99,4.1434,1,0.2000000000000000000,0,0.62,0,160,1417,5,2.895
1.84,0.2389,0.99,4.1434,1,0.2000000000000000000,0,0.62,0,160,1417,5,2.895
2.84,0.2389,0.99,4.1434,1,0.2000000000000000000,0,0.62,0,160,1417,5,2.895
0.71,0.0655,0.71,10.8316,1,0.1538461538461538461,0,0.74,0,143,224,5,5.00
8.99,0.8299,8.99,10.8316,1,0.1538461538461538461,0,0.87,0,143,135,10,5.00
5.63,0.0877,0.95,10.8316,1,0.1538461538461538461,0,0.74,0,143,224,10,5.00
7.00,0.6462,7.00,10.8316,1,0.1538461538461538461,0,0.33,0,143,9,10,5.00
2.35,0.0729,0.79,10.8316,1,0.1538461538461538461,0,0.74,0,143,224,5,5.00
2.35,0.0655,0.71,10.8316,1,0.1538461538461538461,0,0.74,0,143,224,5,5.00
1.25,0.0913,0.99,10.8316,1,0.1538461538461538461,0,0.28,0,143,80,5,5.00
5.02,0.0832,0.99,11.8911,1,0.0892857142857142857,0,0.62,0,56,1417,10,4.25
4.25,0.0832,0.99,11.8911,1,0.0892857142857142857,0,0.62,0,56,1417,5,4.25
3.49,0.2514,2.99,11.8911,1,0.0892857142857142857,0,1.06,0,56,839,5,4.25
0.99,0.0832,0.99,11.8911,1,0.0892857142857142857,0,0.74,0,56,32,5,4.25
6.53,0.0832,0.99,11.8911,1,0.0892857142857142857,0,0.62,0,56,1417,10,4.25
2.19,1.00,2.19,2.19,1,0.1666666666666666666,0,0.96,0,6,16,5,2.19
0.99,1.00,0.99,0.99,1,0.0357142857142857142,0,0.96,0,28,56,5,0.99
3.35,0.1547,0.99,6.3985,1,0.0958904109589041095,1,1.13,0,73,1735,5,5.99
0.99,1.00,0.99,0.99,1,0.5000000000000000000,0,1.06,0,2,839,5,0.99
1.59,0.2177,1.59,7.3025,1,0.1250000000000000000,0,0.24,0,88,770,5,3.01
5.99,0.8202,5.99,7.3025,1,0.1250000000000000000,0,0.41,0,88,70,10,3.01
0.99,1.00,0.99,0.99,1,0.3333333333333333333,0,1.06,0,3,839,5,0.99
3.36,0.1955,0.99,5.0633,1,0.2926829268292682926,0,0.62,0,41,1417,5,4.99
4.99,0.9855,4.99,5.0633,1,0.2926829268292682926,0,0.63,0,41,555,5,4.99
2.25,0.1955,0.99,5.0633,1,0.2926829268292682926,0,0.62,0,41,1417,5,4.99
4.99,0.9855,4.99,5.0633,1,0.2926829268292682926,0,0.63,0,41,555,5,4.99
4.99,0.9855,4.99,5.0633,1,0.2926829268292682926,0,0.63,0,41,555,5,4.99
10.00,0.7361,10.00,13.5846,1,0.1884057971014492753,0,0.87,0,69,298,10,12.99
4.99,0.8323,4.99,5.995,1,0.6666666666666666666,0,0.63,0,3,555,5,6.99
2.99,0.4629,2.99,6.458,1,0.2222222222222222222,0,1.06,0,36,839,5,3.00
2.00,0.3096,2.00,6.458,1,0.2222222222222222222,0,1.06,0,36,839,5,3.00
0.99,1.00,0.99,0.99,1,0.0400000000000000000,0,0.28,0,25,80,5,0.99
17.81,0.7516,14.99,19.9415,1,0.1870503597122302158,1,1.23,0,417,2542,20,14.95
12.50,0.5009,9.99,19.9415,1,0.1870503597122302158,0,0.67,0,417,413,15,14.95
14.99,0.7516,14.99,19.9415,1,0.1870503597122302158,1,1.23,0,417,2542,15,14.95
14.99,0.7516,14.99,19.9415,1,0.1870503597122302158,1,1.23,0,417,2542,15,14.95
9.99,0.5009,9.99,19.9415,1,0.1870503597122302158,0,0.67,0,417,413,10,14.95
9.99,0.5009,9.99,19.9415,1,0.1870503597122302158,0,0.67,0,417,413,10,14.95
22.00,0.0496,0.99,19.9415,1,0.1870503597122302158,1,1.13,0,417,1751,25,14.95
15.50,0.5009,9.99,19.9415,1,0.1870503597122302158,0,0.67,0,417,413,20,14.95
7.95,0.3986,7.95,19.9415,1,0.1870503597122302158,0,0.64,0,417,4,10,14.95
10.49,0.9696,7.99,8.24,1,0.4000000000000000000,0,0.63,0,5,555,15,8.24
5.99,1.0655,5.99,5.6216,1,0.1090909090909090909,0,1.19,0,55,117,10,5.125
2.00,0.2452,2.00,8.1564,1,0.2452830188679245283,0,1.06,0,53,839,5,3.99
0.99,0.1213,0.99,8.1564,1,0.2452830188679245283,0,0.62,0,53,209,5,3.99
4.09,0.6149,0.99,1.61,1,0.1111111111111111111,1,1.13,0,45,1751,5,0.99
3.30,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
1.04,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
4.10,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
1.83,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
2.54,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
2.25,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
2.25,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
10.50,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,15,2.54
1.90,0.3368,0.99,2.939,1,0.3888888888888888888,0,1.06,0,54,839,5,2.54
4.50,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
0.01,0.0034,0.01,2.939,1,0.3888888888888888888,0,1.11,0,54,99,5,2.54
3.25,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
4.25,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
2.99,1.0173,2.99,2.939,1,0.3888888888888888888,0,0.87,0,54,28,5,2.54
1.99,0.6771,1.99,2.939,1,0.3888888888888888888,0,1.06,0,54,839,5,2.54
2.14,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
3.53,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
0.99,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
1.50,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
2.86,0.3368,0.99,2.939,1,0.3888888888888888888,0,0.62,0,54,1417,5,2.54
0.99,1.00,0.99,0.99,1,0.0549450549450549450,0,0.62,0,91,1417,5,0.99
5.99,0.5178,5.99,11.5678,1,0.1830985915492957746,0,0.44,0,71,523,10,9.99
8.99,0.7776,8.99,11.56,1,0.1111111111111111111,0,1.19,0,18,117,10,5.74
3.99,0.7087,3.99,5.63,1,0.3281250000000000000,0,1.08,0,64,152,5,4.99
1.99,0.6648,1.99,2.9933,1,0.6666666666666666666,0,1.06,0,3,839,5,1.49
20.52,0.8318,14.99,18.0197,1,0.1901565995525727069,1,1.23,0,447,2542,25,9.50
14.99,0.8318,14.99,18.0197,1,0.1901565995525727069,1,1.23,0,447,2542,15,9.50
