Price,StartingBidPercent,StartingBid,AvgPrice,QuantitySold,ItemAuctionSellPercent,Authenticated,SellerSaleAvgPriceRatio,IsHOF,AuctionCount,SellerAuctionSaleCount,PriceBuckets,AuctionMedianPrice
0.01,0.0038,0.01,2.5808,1,0.2277227722772277227,0,0.37,0,101,1252,5,1.00
0.99,0.6832,0.99,1.449,1,0.0384615384615384615,0,0.42,0,26,358,5,0.99
0.06,0.1666,0.01,0.06,1,0.0769230769230769230,0,0.37,0,13,1252,5,0.06
0.99,0.2826,0.99,3.5025,1,0.0422535211267605633,0,0.91,0,71,1139,5,0.99
1.00,0.2855,1.00,3.5025,1,0.0422535211267605633,0,0.44,0,71,4,5,0.99
0.99,0.2826,0.99,3.5025,1,0.0422535211267605633,0,0.96,0,71,213,5,0.99
0.99,0.3485,0.99,2.84,1,0.0526315789473684210,0,0.50,0,38,2913,5,1.265
1.54,0.3485,0.99,2.84,1,0.0526315789473684210,0,0.41,0,38,688,5,1.265
1.04,0.7864,0.99,1.2588,1,0.1632653061224489795,0,0.78,0,98,187,5,0.99
0.99,0.7864,0.99,1.2588,1,0.1632653061224489795,0,0.91,0,98,1139,5,0.99
0.99,0.7864,0.99,1.2588,1,0.1632653061224489795,0,0.33,0,98,179,5,0.99
0.99,0.6622,0.99,1.495,1,0.1041666666666666666,0,0.50,0,96,2913,5,0.99
0.99,0.6622,0.99,1.495,1,0.1041666666666666666,0,0.50,0,96,2913,5,0.99
0.49,0.3277,0.49,1.495,1,0.1041666666666666666,0,0.37,0,96,1252,5,0.99
0.49,0.3277,0.49,1.495,1,0.1041666666666666666,0,0.37,0,96,1252,5,0.99
5.99,0.8022,5.99,7.4662,1,0.2844036697247706422,0,1.06,0,109,482,10,4.64
10.50,1.338,9.99,7.4662,1,0.2844036697247706422,0,1.06,0,109,482,15,4.64
2.00,0.2678,2.00,7.4662,1,0.2844036697247706422,0,0.44,0,109,523,5,4.64
8.49,1.0701,7.99,7.4662,1,0.2844036697247706422,0,1.60,0,109,458,10,4.64
4.45,0.1325,0.99,7.4662,1,0.2844036697247706422,0,0.44,0,109,523,5,4.64
5.55,0.1325,0.99,7.4662,1,0.2844036697247706422,0,0.50,0,109,2913,10,4.64
0.89,0.9144,0.89,0.9733,1,0.1200000000000000000,0,0.41,0,50,688,5,0.99
0.99,1.0171,0.99,0.9733,1,0.1200000000000000000,0,0.42,0,50,358,5,0.99
0.99,1.0171,0.99,0.9733,1,0.1200000000000000000,0,0.50,0,50,2913,5,0.99
31.00,0.6184,5.99,9.685,1,0.0579710144927536231,0,0.94,0,69,96,35,3.375
0.01,0.0263,0.01,0.38,1,0.1176470588235294117,0,0.37,0,17,1252,5,0.38
1.04,1.1467,0.99,0.8633,1,0.1875000000000000000,0,0.66,0,16,176,5,0.99
0.56,0.5675,0.49,0.8633,1,0.1875000000000000000,0,0.37,0,16,1252,5,0.99
2.61,0.2755,1.29,4.6816,1,0.2500000000000000000,0,0.48,0,12,253,5,5.99
7.99,1.6778,7.99,4.7621,1,0.0851063829787234042,0,1.68,0,47,16,10,1.245
34.00,0.5898,14.99,25.4116,1,0.6000000000000000000,0,1.60,0,10,458,35,27.75
6.37,0.0503,0.99,19.6633,1,1.0000000000000000000,0,0.50,0,2,2913,10,8.99
0.60,0.0071,0.01,1.3925,1,0.1025641025641025641,0,0.37,0,39,1252,5,0.99
10.50,0.1022,0.99,9.685,1,0.3125000000000000000,0,4.19,0,80,31,15,3.99
9.99,1.0314,9.99,9.685,1,0.3125000000000000000,0,1.73,0,80,28,10,3.99
6.75,0.5162,5.00,9.685,1,0.3125000000000000000,0,0.93,0,80,20,10,3.99
10.50,0.1022,0.99,9.685,1,0.3125000000000000000,0,0.44,0,80,304,15,3.99
4.99,0.5152,4.99,9.685,1,0.3125000000000000000,0,1.37,0,80,11,5,3.99
0.11,0.0114,0.01,0.87,1,0.0909090909090909090,0,0.37,0,33,1252,5,1.25
10.11,0.5408,0.99,1.8305,1,0.0904761904761904761,0,1.74,0,210,197,15,0.99
0.99,0.5408,0.99,1.8305,1,0.0904761904761904761,0,0.50,0,210,2913,5,0.99
1.58,0.5408,0.99,1.8305,1,0.0904761904761904761,0,0.59,0,210,530,5,0.99
0.99,0.5408,0.99,1.8305,1,0.0904761904761904761,0,0.78,0,210,187,5,0.99
0.99,0.5408,0.99,1.8305,1,0.0904761904761904761,0,0.59,0,210,530,5,0.99
0.99,0.5408,0.99,1.8305,1,0.0904761904761904761,0,0.59,0,210,530,5,0.99
2.00,0.8908,2.00,2.245,1,0.2027027027027027027,0,0.44,0,148,523,5,1.145
5.00,2.2271,5.00,2.245,1,0.2027027027027027027,0,0.94,0,148,516,5,1.145
0.99,0.4409,0.99,2.245,1,0.2027027027027027027,0,0.50,0,148,2913,5,1.145
9.99,1.0555,9.99,9.4642,1,0.3284313725490196078,0,0.38,0,204,3,10,6.76
9.99,1.0555,9.99,9.4642,1,0.3284313725490196078,0,1.51,0,204,28,10,6.76
4.24,0.4215,3.99,9.4642,1,0.3284313725490196078,0,0.26,0,204,141,5,6.76
10.00,1.0566,10.00,9.4642,1,0.3284313725490196078,0,0.65,0,204,5,10,6.76
10.00,1.0566,10.00,9.4642,1,0.3284313725490196078,0,0.65,0,204,5,10,6.76
10.00,1.0566,10.00,9.4642,1,0.3284313725490196078,0,0.65,0,204,5,10,6.76
8.50,0.1046,0.99,9.4642,1,0.3284313725490196078,0,0.24,0,204,143,10,6.76
3.25,0.001,0.01,9.4642,1,0.3284313725490196078,0,0.55,0,204,80,5,6.76
10.50,1.0555,9.99,9.4642,1,0.3284313725490196078,0,0.94,0,204,59,15,6.76
9.99,1.0555,9.99,9.4642,1,0.3284313725490196078,0,1.06,0,204,2,10,6.76
3.50,0.3698,3.50,9.4642,1,0.3284313725490196078,0,0.91,0,204,12,5,6.76
14.59,0.3881,7.00,18.0365,1,0.3953488372093023255,0,0.91,0,86,103,15,11.21
14.99,0.831,14.99,18.0365,1,0.3953488372093023255,0,0.89,0,86,224,15,11.21
3.00,0.0493,0.89,18.0365,1,0.3953488372093023255,0,0.27,0,86,127,5,11.21
43.00,0.5538,9.99,18.0365,1,0.3953488372093023255,1,0.96,0,86,144,45,11.21
0.99,0.0548,0.99,18.0365,1,0.3953488372093023255,0,0.36,0,86,128,5,11.21
3.99,0.2212,3.99,18.0365,1,0.3953488372093023255,0,0.45,0,86,38,5,11.21
1.49,0.1456,0.99,6.798,1,0.4285714285714285714,0,0.44,0,7,523,5,4.25
2.49,1.3593,2.49,1.8318,1,0.1090909090909090909,1,1.13,0,55,66,5,1.12
5.00,0.2796,5.00,17.878,1,0.3551401869158878504,0,0.44,1,321,19,5,9.99
8.27,0.3909,6.99,17.878,1,0.3551401869158878504,1,0.88,1,321,6,10,9.99
4.44,0.0553,0.99,17.878,1,0.3551401869158878504,0,1.74,1,321,197,5,9.99
13.00,0.7271,13.00,17.878,1,0.3551401869158878504,0,1.41,1,321,30,15,9.99
24.99,1.3978,24.99,17.878,1,0.3551401869158878504,1,1.05,1,321,556,25,9.99
2.25,0.0005,0.01,17.878,1,0.3551401869158878504,0,0.55,1,321,80,5,9.99
2.25,0.0005,0.01,17.878,1,0.3551401869158878504,0,0.55,1,321,80,5,9.99
15.06,0.0553,0.99,17.878,1,0.3551401869158878504,0,1.06,1,321,839,20,9.99
8.50,0.0553,0.99,17.878,1,0.3551401869158878504,0,1.06,1,321,839,10,9.99
9.99,0.5587,9.99,17.878,1,0.3551401869158878504,0,0.71,1,321,40,10,9.99
9.52,0.0553,0.99,17.878,1,0.3551401869158878504,0,0.82,1,321,162,10,9.99
6.50,0.0559,1.00,17.878,1,0.3551401869158878504,0,0.35,1,321,25,10,9.99
6.90,0.2796,5.00,17.878,1,0.3551401869158878504,0,0.91,1,321,103,10,9.99
10.00,0.5593,10.00,17.878,1,0.3551401869158878504,0,0.86,1,321,25,10,9.99
10.51,0.0553,0.99,17.878,1,0.3551401869158878504,1,1.48,1,321,4,15,9.99
7.50,0.0005,0.01,17.878,1,0.3551401869158878504,0,0.55,1,321,80,10,9.99
10.30,0.0553,0.99,17.878,1,0.3551401869158878504,1,1.74,1,321,197,15,9.99
2.25,0.0559,1.00,17.878,1,0.3551401869158878504,0,0.35,1,321,25,5,9.99
22.76,0.0553,0.99,17.878,1,0.3551401869158878504,0,0.99,1,321,27,25,9.99
8.50,0.0005,0.01,17.878,1,0.3551401869158878504,0,0.55,1,321,80,10,9.99
8.73,0.0553,0.99,17.878,1,0.3551401869158878504,0,0.36,1,321,128,10,9.99
18.27,0.0553,0.99,17.878,1,0.3551401869158878504,0,1.18,1,321,5,20,9.99
15.49,0.0553,0.99,17.878,1,0.3551401869158878504,0,1.01,1,321,80,20,9.99
54.00,0.5587,9.99,17.878,1,0.3551401869158878504,1,3.94,1,321,501,55,9.99
5.99,0.335,5.99,17.878,1,0.3551401869158878504,0,0.42,1,321,358,10,9.99
36.96,0.0553,0.99,17.878,1,0.3551401869158878504,0,1.45,1,321,366,40,9.99
1.49,0.5431,1.49,2.7433,1,0.6000000000000000000,0,0.69,0,5,166,5,3.25
0.99,1.00,0.99,0.99,1,0.3333333333333333333,0,0.41,0,3,688,5,0.99
1.36,0.1861,0.99,5.3175,1,0.2142857142857142857,0,0.71,0,56,272,5,2.84
27.54,1.8787,9.99,5.3175,1,0.2142857142857142857,0,1.60,0,56,458,30,2.84
0.99,0.1861,0.99,5.3175,1,0.2142857142857142857,0,0.91,0,56,1139,5,2.84
0.99,0.2847,0.99,3.4772,1,0.1091954022988505747,0,0.26,0,174,33,5,0.99
3.99,1.1474,3.99,3.4772,1,0.1091954022988505747,0,0.51,0,174,16,5,0.99
1.04,0.2102,0.99,4.7089,1,0.1882352941176470588,0,0.37,0,85,105,5,1.145
0.99,0.2102,0.99,4.7089,1,0.1882352941176470588,0,0.78,0,85,187,5,1.145
0.99,1.00,0.99,0.99,1,0.2500000000000000000,0,0.50,0,12,2913,5,0.99
0.99,1.3069,0.99,0.7575,1,0.2666666666666666666,0,0.50,0,15,2913,5,0.99
19.99,4.3226,19.99,4.6245,1,0.1750000000000000000,0,1.56,0,40,50,20,1.62
0.99,0.3091,0.99,3.2022,1,0.1181818181818181818,0,0.78,0,110,187,5,0.99
0.99,0.3091,0.99,3.2022,1,0.1181818181818181818,0,0.50,0,110,2913,5,0.99
3.50,1.0635,3.50,3.2908,1,0.0769230769230769230,0,0.87,0,104,31,5,2.745
1.99,0.6047,1.99,3.2908,1,0.0769230769230769230,0,0.64,0,104,81,5,2.745
0.99,1.00,0.99,0.99,1,0.1481481481481481481,0,0.26,0,27,91,5,0.99
0.99,1.00,0.99,0.99,1,0.1481481481481481481,0,0.50,0,27,2913,5,0.99
32.28,0.0533,2.99,56.0763,1,0.1818181818181818181,0,0.67,0,44,15,35,40.00
37.00,0.0176,0.99,56.0763,1,0.1818181818181818181,0,0.36,0,44,128,40,40.00
3.96,0.0744,0.99,13.2978,1,0.3793103448275862068,0,0.39,0,29,22,5,5.00
7.99,1.5014,7.99,5.3214,1,0.1818181818181818181,0,1.06,0,66,482,10,5.245
1.47,0.0664,0.99,14.8954,1,0.4615384615384615384,0,0.44,0,13,523,5,2.275
4.80,0.194,0.99,5.102,1,0.4583333333333333333,0,2.26,0,72,54,5,3.25
3.25,0.194,0.99,5.102,1,0.4583333333333333333,0,0.36,0,72,45,5,3.25
8.10,0.194,0.99,5.102,1,0.4583333333333333333,0,1.74,0,72,197,10,3.25
9.50,0.194,0.99,5.102,1,0.4583333333333333333,0,1.74,0,72,197,10,3.25
0.99,0.3314,0.99,2.987,1,0.1764705882352941176,0,0.37,0,204,1252,5,0.99
0.50,0.1673,0.50,2.987,1,0.1764705882352941176,0,0.54,0,204,42,5,0.99
0.99,0.3314,0.99,2.987,1,0.1764705882352941176,0,0.59,0,204,530,5,0.99
0.99,0.3314,0.99,2.987,1,0.1764705882352941176,0,0.37,0,204,105,5,0.99
0.99,0.3314,0.99,2.987,1,0.1764705882352941176,0,0.50,0,204,2913,5,0.99
1.11,0.0033,0.01,2.987,1,0.1764705882352941176,0,0.37,0,204,1252,5,0.99
9.30,0.3314,0.99,2.987,1,0.1764705882352941176,0,1.74,0,204,197,10,0.99
0.99,0.3314,0.99,2.987,1,0.1764705882352941176,0,0.50,0,204,2913,5,0.99
0.99,0.3314,0.99,2.987,1,0.1764705882352941176,0,0.59,0,204,530,5,0.99
0.99,0.3314,0.99,2.987,1,0.1764705882352941176,0,0.59,0,204,530,5,0.99
0.99,0.6988,0.99,1.4166,1,0.0629921259842519685,0,0.50,0,127,2913,5,0.99
0.01,0.0027,0.01,3.6975,1,0.4285714285714285714,0,0.69,0,14,5,5,4.29
5.00,1.3522,5.00,3.6975,1,0.4285714285714285714,0,1.31,0,14,159,5,4.29
5.00,1.3522,5.00,3.6975,1,0.4285714285714285714,0,1.31,0,14,159,5,4.29
5.00,1.3522,5.00,3.6975,1,0.4285714285714285714,0,1.31,0,14,159,5,4.29
7.99,0.714,7.99,11.19,1,0.6000000000000000000,0,1.06,0,5,839,10,12.63
11.38,0.8305,7.99,9.6203,1,0.4218750000000000000,0,1.06,0,64,839,15,6.00
8.49,0.8305,7.99,9.6203,1,0.4218750000000000000,0,1.06,0,64,839,10,6.00
2.00,1.00,2.00,2.00,1,0.0222222222222222222,0,0.88,0,45,11,5,2.00
0.99,0.3215,0.99,3.0788,1,0.1467889908256880733,0,0.96,0,109,213,5,2.49
1.99,0.6463,1.99,3.0788,1,0.1467889908256880733,0,0.72,0,109,477,5,2.49
3.00,0.9744,3.00,3.0788,1,0.1467889908256880733,0,0.79,0,109,3,5,2.49
0.99,0.3215,0.99,3.0788,1,0.1467889908256880733,0,0.20,0,109,35,5,2.49
0.01,0.0084,0.01,1.1844,1,0.1428571428571428571,0,0.50,0,63,62,5,0.99
0.99,0.8358,0.99,1.1844,1,0.1428571428571428571,0,0.56,0,63,170,5,0.99
19.99,0.1096,0.99,9.03,1,0.4285714285714285714,0,0.91,0,7,1139,20,5.75
2.37,0.0588,0.99,16.8246,1,0.4545454545454545454,0,1.74,0,22,197,5,5.505
1.72,0.2712,0.99,3.65,1,0.2758620689655172413,0,0.50,0,29,2913,5,2.235
16.72,1.699,15.00,8.8286,1,0.3142857142857142857,0,0.69,0,105,2,20,2.84
3.47,0.1461,1.29,8.8286,1,0.3142857142857142857,0,0.48,0,105,253,5,2.84
0.99,0.5958,0.99,1.6614,1,0.1206896551724137931,0,0.50,0,58,2913,5,0.99
0.99,0.5958,0.99,1.6614,1,0.1206896551724137931,0,0.91,0,58,1139,5,0.99
10.01,0.0932,0.99,10.6121,1,0.2166666666666666666,0,0.65,0,60,84,15,7.01
1.04,0.0895,0.95,10.6121,1,0.2166666666666666666,0,0.40,0,60,64,5,7.01
0.49,0.4922,0.49,0.9955,1,0.1636363636363636363,0,0.37,0,55,1252,5,0.99
0.49,0.4922,0.49,0.9955,1,0.1636363636363636363,0,0.37,0,55,1252,5,0.99
0.99,0.9944,0.99,0.9955,1,0.1636363636363636363,0,0.41,0,55,688,5,0.99
1.00,0.3518,1.00,2.8425,1,0.1428571428571428571,0,1.10,0,28,164,5,0.995
1.75,0.413,0.99,2.3968,1,0.0800000000000000000,0,0.50,0,200,2913,5,0.99
0.99,0.2632,0.99,3.7606,1,0.2818181818181818181,0,1.29,0,110,88,5,1.75
1.79,0.3349,0.99,2.9558,1,0.2571428571428571428,0,0.80,0,105,80,5,1.50
3.00,0.3383,1.00,2.9558,1,0.2571428571428571428,0,0.49,0,105,91,5,1.50
2.81,0.3349,0.99,2.9558,1,0.2571428571428571428,0,0.71,0,105,272,5,1.50
3.28,0.504,1.49,2.9558,1,0.2571428571428571428,0,0.69,0,105,166,5,1.50
0.99,0.3349,0.99,2.9558,1,0.2571428571428571428,0,0.37,0,105,105,5,1.50
11.50,0.1061,1.99,18.7523,1,0.5490196078431372549,0,0.71,0,51,101,15,13.995
23.00,0.0527,0.99,18.7523,1,0.5490196078431372549,0,0.80,0,51,80,25,13.995
14.99,0.7993,14.99,18.7523,1,0.5490196078431372549,0,1.06,0,51,839,15,13.995
